year,Name,Rank,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2011,University of Minnesota,52,,,,,,65.6,57.6,69.1,76.4,-,23.0
2011,University of North Carolina at Chapel Hill,30,,,,,,73.8,70.9,75.1,85.0,50.2,21.5
2011,University of Notre Dame,63,,,,,,62.8,56.4,45.1,89.1,-,35.6
2011,University of Nottingham,174,,,,,,49.0,46.8,44.1,52.5,38.4,74.8
2011,University of Oxford,6,,,,,,91.2,88.2,93.9,95.1,73.5,77.2
2011,University of Pennsylvania,19,,,,,,79.5,71.8,82.7,93.6,43.7,32.9
2011,University of Pittsburgh-Pittsburgh campus,64,,,,,,62.7,58.5,58.3,78.3,37.9,25.2
2011,University of Science and Technology of China,49,,,,,,66.0,57.5,48.6,92.7,30.3,-
2011,University of Sheffield,137,,,,,,52.5,48.9,49.2,58.4,40.3,62.7
2011,University of Southampton,90,,,,,,57.7,50.8,47.8,72.9,37.7,69.0
2011,University of Southern California,73,,,,,,60.7,65.4,48.7,71.9,-,31.2
2011,University of St Andrews,103,,,,,,56.5,44.8,47.7,72.9,32.6,85.7
2011,University of Sussex,79,,,,,,59.5,42.4,42.4,91.6,29.1,72.8
2011,University of Toronto,17,,,,,,82.0,75.8,87.9,82.2,-,-
2011,University of Twente,185,,,,,,47.5,49.9,48.3,42.0,49.8,62.4
2011,University of Tübingen,189,,,,,,47.0,45.9,36.3,57.3,32.3,57.8
2011,University of Utah,83,,,,,,59.0,55.8,54.2,72.0,-,22.5
2011,University of Victoria,130,,,,,,53.4,32.9,48.3,79.1,27.4,-
2011,University of Vienna,195,,,,,,46.7,47.6,45.7,45.6,27.0,63.2
2011,University of Virginia (Main campus),72,,,,,,61.1,62.0,55.4,68.6,-,42.2
2011,University of Washington,23,,,,,,78.0,68.2,77.1,95.9,32.8,49.0
2011,University of Wisconsin,43,,,,,,67.0,55.5,64.6,83.4,-,43.7
2011,University of Würzburg,168,,,,,,49.8,48.7,40.9,60.4,-,40.3
2011,University of York,81,,,,,,59.1,47.9,46.2,81.9,36.2,66.6
2011,University of Zurich,90,,,,,,57.7,56.6,47.0,65.0,43.8,87.9
2011,Universität Heidelberg,83,,,,,,59.0,59.2,47.5,70.3,39.1,63.4
2011,Université de Montréal,138,,,,,,52.4,56.1,49.4,51.9,-,-
2011,Uppsala University,147,,,,,,51.6,49.6,62.2,40.7,39.5,77.9
2011,Utrecht University,143,,,,,,52.0,43.4,53.0,58.8,55.3,52.6
2011,Vanderbilt University,51,,,,,,65.9,64.9,59.5,78.1,84.2,22.1
2011,Vrije Universiteit Amsterdam,139,,,,,,52.3,47.6,51.6,58.5,81.4,30.6
2011,Wageningen University & Research,144,,,,,,51.9,58.5,48.8,53.0,-,24.3
2011,Wake Forest University,90,,,,,,57.7,54.6,42.9,79.2,-,24.4
2011,Washington University in St Louis,38,,,,,,69.9,58.9,63.0,88.6,-,56.4
2011,William & Mary,75,,,,,,60.4,53.1,36.1,95.6,-,20.9
2011,Yale University,10,,,,,,89.5,92.1,89.7,91.5,-,59.2
2011,Yeshiva University,68,,,,,,61.4,63.5,46.7,74.4,-,53.3
2011,Yonsei University,190,,,,,,46.9,43.0,48.7,52.2,40.4,28.0
2011,Zhejiang University,197,,,,,,46.4,54.6,41.3,44.3,70.3,29.6
2011,École Normale Supérieure,42,,,,,,68.6,66.8,48.2,95.7,30.7,44.9
2011,École Normale Supérieure de Lyon,100,,,,,,57.0,51.1,34.4,88.8,26.1,37.6
2011,École Polytechnique Fédérale de Lausanne,48,,,,,,66.5,55.0,56.1,83.8,38.0,100.0
2011,École Polytechnique – Institut Polytechnique de Paris,39,,,,,,69.5,57.9,56.1,91.4,-,77.9
2012,Aarhus University,125,,,,,,50.0,30.7,49.0,64.0,67.0,69.3
2012,Arizona State University (Tempe),127,,,,,,49.9,38.2,39.0,80.3,28.7,26.1
2012,Australian National University,38,,,,,,71.2,62.8,75.1,72.6,41.7,93.8
2012,"Birkbeck, University of London",149,,,,,,46.8,25.9,25.8,80.8,25.1,85.3
2012,Boston College,195,,,,,,42.4,26.5,18.9,83.5,24.2,41.4
2012,Boston University,54,,,,,,64.2,60.7,46.2,95.6,27.6,37.2
2012,Brandeis University,150,,,,,,46.7,25.3,27.3,90.2,33.7,40.3
2012,Brown University,49,,,,,,65.6,59.8,53.6,93.9,34.9,33.4
2012,California Institute of Technology,1,,,,,,94.8,95.7,98.2,99.9,97.0,56.0
2012,Carnegie Mellon University,21,,,,,,78.4,65.7,79.5,97.4,60.7,55.0
2012,Case Western Reserve University,93,,,,,,54.6,54.2,40.2,78.4,-,29.9
2012,City University of Hong Kong,193,,,,,,42.6,30.2,35.0,57.4,50.1,61.6
2012,Columbia University,12,,,,,,87.5,89.1,81.8,97.8,-,67.6
2012,Cornell University,20,,,,,,80.5,70.4,87.2,93.5,-,53.4
2012,Dartmouth College,90,,,,,,54.9,44.8,38.7,89.9,-,30.6
2012,Delft University of Technology,104,,,,,,53.1,53.5,66.1,31.2,100.0,71.3
2012,Duke University,22,,,,,,77.4,62.6,77.9,97.4,100.0,46.9
2012,Durham University,83,,,,,,56.4,32.5,37.9,96.2,30.5,75.8
2012,ETH Zurich,15,,,,,,85.0,79.1,85.8,87.2,-,97.5
2012,Eindhoven University of Technology,115,,,,,,51.3,35.6,48.0,62.1,100.0,67.3
2012,Emory University,75,,,,,,57.4,48.4,39.8,90.9,34.4,37.3
2012,Erasmus University Rotterdam,157,,,,,,46.0,28.8,27.2,77.4,45.0,65.0
2012,Free University of Berlin,151,,,,,,46.6,46.3,48.5,42.5,30.6,62.1
2012,George Washington University,135,,,,,,49.0,44.2,33.6,73.2,-,38.3
2012,Georgetown University,138,,,,,,48.0,52.5,40.4,57.7,-,29.1
2012,Georgia Health Sciences University,197,,,,,,41.5,49.0,14.2,63.5,40.7,32.1
2012,Georgia Institute of Technology,24,,,,,,77.0,66.6,73.8,91.9,99.2,65.0
2012,Ghent University,106,,,,,,53.0,41.1,52.2,63.4,97.8,47.3
2012,Goethe University Frankfurt,181,,,,,,43.6,30.5,21.7,75.1,42.4,57.6
2012,Harvard University,2,,,,,,93.9,95.8,97.4,99.8,35.9,67.5
2012,Hebrew University of Jerusalem,121,,,,,,50.4,47.7,56.4,48.4,25.0,53.0
2012,Humboldt University of Berlin,109,,,,,,52.6,51.3,54.5,50.1,-,64.5
2012,Imperial College London,8,,,,,,90.7,88.8,88.7,93.9,93.1,92.2
2012,Indiana University,123,,,,,,50.2,46.8,34.5,73.7,-,37.7
2012,Iowa State University,184,,,,,,43.4,32.8,30.1,70.4,49.2,28.3
2012,Johns Hopkins University,14,,,,,,85.8,78.9,86.5,97.3,100.0,59.9
2012,KTH Royal Institute of Technology,187,,,,,,43.0,40.9,39.5,34.1,100.0,82.1
2012,KU Leuven,67,,,,,,60.8,52.5,64.7,63.0,99.9,56.7
2012,Karlsruhe Institute of Technology,196,,,,,,41.6,34.6,19.6,65.5,35.6,64.9
2012,Karolinska Institute,32,,,,,,73.1,69.9,73.8,73.1,78.5,82.0
2012,King’s College London,56,,,,,,63.2,49.8,54.2,80.9,40.8,90.0
2012,Korea Advanced Institute of Science and Technology (KAIST),94,,,,,,54.5,64.2,54.6,47.1,100.0,29.3
2012,Kyoto University,52,,,,,,64.8,76.4,72.0,56.3,71.7,21.1
2012,LMU Munich,45,,,,,,67.6,63.8,59.9,84.6,40.7,54.3
2012,Lancaster University,131,,,,,,49.7,32.6,35.7,75.4,27.5,78.6
2012,Leiden University,79,,,,,,57.0,45.4,55.3,71.7,48.6,54.4
2012,London School of Economics and Political Science,47,,,,,,66.0,66.4,75.4,50.6,41.1,96.0
2012,Lund University,80,,,,,,56.9,40.4,58.5,72.8,32.6,61.2
2012,Maastricht University,197,,,,,,41.5,30.6,30.5,53.9,-,86.4
2012,Massachusetts Institute of Technology,7,,,,,,92.3,92.7,87.4,100.0,94.4,79.2
2012,McGill University,28,,,,,,75.5,72.8,78.4,77.1,35.1,81.4
2012,McMaster University,65,,,,,,61.0,41.9,49.9,85.5,97.5,72.0
2012,Medical University of South Carolina,162,,,,,,45.8,43.9,38.9,56.6,87.8,23.9
2012,Michigan State University,96,,,,,,54.4,47.4,49.6,73.6,28.0,34.0
2012,Monash University,117,,,,,,51.1,40.5,48.5,57.1,62.2,75.8
2012,"Nanyang Technological University, Singapore",169,,,,,,45.0,41.4,47.8,34.5,44.4,89.8
2012,National Taiwan University (NTU),154,,,,,,46.2,47.8,58.5,39.2,40.0,20.7
2012,National University of Singapore,40,,,,,,70.9,65.7,79.0,63.4,60.7,93.0
2012,New York University,44,,,,,,69.0,60.2,65.4,92.3,30.9,38.1
2012,Newcastle University,146,,,,,,47.0,34.2,28.4,72.2,32.3,76.2
2012,Northwestern University,26,,,,,,76.2,66.3,75.5,98.6,56.6,35.3
2012,Ohio State University (Main campus),57,,,,,,63.0,61.8,56.2,77.5,49.9,42.2
2012,Paris Diderot University – Paris 7,169,,,,,,45.0,23.3,18.7,88.9,-,70.7
2012,Peking University,49,,,,,,65.6,82.3,64.1,51.0,99.9,51.7
2012,Penn State (Main campus),51,,,,,,64.9,53.5,66.7,83.4,61.6,29.5
2012,Pierre and Marie Curie University,84,,,,,,56.0,56.3,30.5,81.1,26.2,66.7
2012,Pohang University of Science and Technology (POSTECH),53,,,,,,64.6,56.4,51.9,92.3,100.0,25.0
2012,Pompeu Fabra University,186,,,,,,43.1,23.4,16.1,87.6,37.6,54.3
2012,Princeton University,5,,,,,,92.9,91.5,99.1,100.0,81.0,49.6
2012,Purdue University West Lafayette,98,,,,,,54.0,56.6,49.4,57.8,-,52.6
2012,Queen Mary University of London,127,,,,,,49.9,29.0,28.6,83.7,36.6,88.8
2012,Queen’s University,173,,,,,,44.6,39.7,36.1,49.3,87.5,65.0
2012,RWTH Aachen University,168,,,,,,45.1,36.1,25.1,67.2,61.8,67.1
2012,Radboud University Nijmegen,159,,,,,,45.9,27.7,43.8,65.5,33.1,52.3
2012,Rensselaer Polytechnic Institute,144,,,,,,47.4,31.7,40.4,73.6,49.0,32.7
2012,Rice University,72,,,,,,59.0,45.9,38.0,99.9,36.2,39.7
2012,"Royal Holloway, University of London",107,,,,,,52.9,28.6,24.1,98.2,25.9,93.3
2012,Rutgers University–New Brunswick,81,,,,,,56.8,51.6,60.0,69.0,-,25.3
2012,Seoul National University,124,,,,,,50.1,64.6,50.8,44.0,42.6,16.3
2012,Stanford University,2,,,,,,93.9,94.8,98.9,99.8,63.8,57.2
2012,Stockholm University,131,,,,,,49.7,25.0,36.0,90.2,26.8,48.8
2012,Stony Brook University,114,,,,,,51.4,37.7,28.7,88.3,29.2,56.5
2012,Technical University of Denmark,178,,,,,,44.1,31.9,24.1,66.8,95.7,65.2
2012,Technical University of Munich,88,,,,,,55.1,50.0,37.1,76.3,47.2,65.2
2012,Tel Aviv University,166,,,,,,45.4,47.3,60.7,33.0,35.0,30.1
2012,Texas A&M University,164,,,,,,45.7,42.3,51.8,45.7,43.8,36.0
2012,The Chinese University of Hong Kong,151,,,,,,46.6,47.0,50.2,37.8,36.4,69.5
2012,The Hong Kong University of Science and Technology,62,,,,,,61.7,51.0,58.6,71.0,59.0,80.1
2012,The University of Chicago,9,,,,,,90.2,89.4,90.8,99.4,-,58.8
2012,The University of Osaka,119,,,,,,51.0,61.8,56.5,40.0,75.0,21.1
2012,The University of Queensland,74,,,,,,58.6,47.5,52.3,70.2,62.6,80.8
2012,The University of Sydney,58,,,,,,62.4,55.4,65.7,57.2,92.1,88.1
2012,The University of Tokyo,30,,,,,,74.3,86.1,80.3,69.1,76.6,23.0
2012,The University of Western Australia,189,,,,,,42.9,32.1,35.8,47.8,58.7,90.0
2012,Tohoku University,120,,,,,,50.8,57.7,55.7,42.9,78.9,25.6
2012,Tokyo Institute of Technology,108,,,,,,52.8,56.0,58.9,49.5,66.3,24.9
2012,Trinity College Dublin,117,,,,,,51.1,30.3,23.5,91.7,29.7,89.4
2012,Tsinghua University,71,,,,,,59.5,74.1,70.1,37.4,99.8,33.4
2012,Tufts University,77,,,,,,57.3,45.8,37.4,94.5,35.4,41.3
2012,UCL,17,,,,,,83.2,77.8,84.3,89.0,41.4,91.8
2012,UNSW Sydney,173,,,,,,44.6,36.1,40.2,46.8,53.1,85.1
2012,University College Dublin,159,,,,,,45.9,25.2,23.7,80.5,32.3,83.2
2012,University of Aberdeen,151,,,,,,46.6,30.6,32.2,67.7,44.4,84.8
2012,University of Alberta,100,,,,,,53.7,50.6,54.4,51.7,53.7,71.9
2012,University of Amsterdam,92,,,,,,54.7,41.7,54.7,68.3,42.5,56.4
2012,University of Arizona,97,,,,,,54.2,45.1,43.0,78.3,86.0,28.4
2012,University of Auckland,173,,,,,,44.6,28.3,35.0,55.7,76.6,92.9
2012,University of Basel,111,,,,,,52.2,38.9,21.9,86.0,48.6,92.4
2012,University of Bergen,191,,,,,,42.8,29.0,26.6,65.2,42.1,73.5
2012,University of Bern,112,,,,,,52.1,43.0,34.6,73.5,38.2,77.6
2012,University of Birmingham,148,,,,,,46.9,42.6,42.6,50.6,36.0,70.3
2012,University of Bristol,66,,,,,,60.9,44.2,47.7,89.9,34.8,73.7
2012,University of British Columbia,22,,,,,,77.4,68.6,78.6,85.2,40.6,88.7
2012,"University of California, Berkeley",10,,,,,,89.8,82.8,99.4,99.4,62.5,50.4
2012,"University of California, Davis",38,,,,,,71.2,68.0,68.7,83.4,52.5,51.4
2012,"University of California, Irvine",86,,,,,,55.4,36.2,42.3,93.5,45.6,36.3
2012,"University of California, Los Angeles",13,,,,,,87.3,85.9,92.5,97.3,-,41.0
2012,"University of California, Riverside",143,,,,,,47.5,27.8,30.9,89.6,31.0,30.0
2012,"University of California, San Diego",33,,,,,,73.0,61.4,72.0,97.8,51.8,31.5
2012,"University of California, Santa Barbara",35,,,,,,72.1,55.0,65.3,99.9,85.0,52.6
2012,"University of California, Santa Cruz",110,,,,,,52.5,28.5,36.6,99.9,29.5,29.8
